Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Medival Open Air,2022-07-15,3,outdoor,Electronicmusic,Electro,Thuringia,"Festwieseder Brandenburg Gerstungen, DE 99834",1000,40.0,40000.0
Borna Open Air,2022-07-15,2,outdoor,Rock,Rock,Saxony,"Volksplatz Borna J.- S.- Bach- Strasse Borna, DE 04552",,39.7,
Damned Days,2022-07-15,2,outdoor,Metal,Metal,Saxony-Anhalt,"Iron Cruise MC Wolmirstedt Buschweg2 Barleben, DE 39179",,0.0,
Ferik Festival,2022-07-15,2,outdoor,Electronicmusic,"Electro
House",Northrhine-Westphalia,"Kulturbad Ennepetal Mittelstraße108 Ennepetal, DE 58256",1500,60.0,90000.0
Traffic Jam Open Air,2022-07-15,2,outdoor,Mixed,"Metal
Punk
Rock
Ska",Hesse,"Verkehrsübungsplatz Am Bauhof12 Dieburg, DE 64807",3000,44.0,132000.0
Traumtänzer Festival,2022-07-15,3,outdoor,Electronicmusic,"ElectronicDanceMusic(EDM)
Goa
Hardcore(Electro)
House",Bavaria,"Garchinger Weg72 Hallbergmoosbei München, DE 85399",2000,,
Open Air Weigendorf,2022-07-15,2,outdoor,Rock,"Metal
Punk
Rock",Bavaria,"Festivalgelände Göttersdorf3 Loiching, DE 84180",4000,35.0,140000.0
Metal Gods Festival,2022-07-15,2,outdoor,Metal,Metal,Brandenburg,"FSC Blau- Weiß, Mahlsdorf/ Waldesruh Waldesruher Str.40 Hoppegarten, DE 15366",,52.0,
Sea You Festival,2022-07-15,3,outdoor,Electronicmusic,"Dance
Electro
ElectronicDanceMusic(EDM)
Trance",Baden-Württemberg,"Beach- Festivalam Tunisee(bei Freiburgim Breisgau) Seestraße30 Freiburgim Breisgau, DE 79108",34000,114.99,3909660.0
Sound Garten Open Air,2022-07-15,10,outdoor,Mixed,"Comedy
Dance
Disco
Electro
House
Pop
Schlagermusic",Hesse,"Sound Garten Open Air Bahnhofstraße13 Bad Sooden- Allendorf, DE 37242",,,
Localize Festival,2022-07-15,3,outdoor,Art&cultureFestivals,Art&culture,Brandenburg,"Am Telegrafenberg Michendorfer Chaussee10 Potsdam, DE 14473",,0.0,
Lionheart Festival,2022-07-15,2,indoor,Mixed,"Hardcore(Metal)
Hip-Hop
Metal
Pop
Punk
Reggae
Rock
Rockabilly",Austria,"Eventhalle Wolfau Sportplatzgasse3 Wolfau, AT 7412",,40.0,
